match_id,season,team1,team2,toss_winner,toss_decision,venue,winner
454,IPL-2013,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Feroz Shah Kotla,Chennai Super Kings
455,IPL-2013,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Feroz Shah Kotla,Rajasthan Royals
456,IPL-2013,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Eden Gardens,Mumbai Indians
457,IPL-2013,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Eden Gardens,Mumbai Indians
458,IPL-2014,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Sheikh Zayed Stadium,Kolkata Knight Riders
459,IPL-2014,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sharjah Cricket Stadium,Royal Challengers Bangalore
460,IPL-2014,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Sheikh Zayed Stadium,Kings XI Punjab
461,IPL-2014,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Sheikh Zayed Stadium,Rajasthan Royals
462,IPL-2014,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Dubai International Cricket Stadium,Royal Challengers Bangalore
463,IPL-2014,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Dubai International Cricket Stadium,Delhi Daredevils
464,IPL-2014,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Sharjah Cricket Stadium,Kings XI Punjab
465,IPL-2014,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Sheikh Zayed Stadium,Chennai Super Kings
466,IPL-2014,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sharjah Cricket Stadium,Kings XI Punjab
467,IPL-2014,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Dubai International Cricket Stadium,Chennai Super Kings
468,IPL-2014,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sharjah Cricket Stadium,Kolkata Knight Riders
469,IPL-2014,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,Dubai International Cricket Stadium,Sunrisers Hyderabad
470,IPL-2014,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Dubai International Cricket Stadium,Chennai Super Kings
471,IPL-2014,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Sheikh Zayed Stadium,Rajasthan Royals
472,IPL-2014,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Sheikh Zayed Stadium,Kings XI Punjab
473,IPL-2014,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,Sharjah Cricket Stadium,Delhi Daredevils
474,IPL-2014,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sharjah Cricket Stadium,Chennai Super Kings
475,IPL-2014,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Dubai International Cricket Stadium,Kings XI Punjab
476,IPL-2014,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Sheikh Zayed Stadium,Rajasthan Royals
477,IPL-2014,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Dubai International Cricket Stadium,Sunrisers Hyderabad
478,IPL-2014,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,JSCA International Stadium Complex,Chennai Super Kings
479,IPL-2014,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Wankhede Stadium,Mumbai Indians
480,IPL-2014,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,Feroz Shah Kotla,Rajasthan Royals
481,IPL-2014,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Royal Challengers Bangalore
482,IPL-2014,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,"Sardar Patel Stadium, Motera",Rajasthan Royals
483,IPL-2014,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Feroz Shah Kotla,Chennai Super Kings
484,IPL-2014,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Wankhede Stadium,Mumbai Indians
485,IPL-2014,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Feroz Shah Kotla,Kolkata Knight Riders
486,IPL-2014,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Barabati Stadium,Kings XI Punjab
487,IPL-2014,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,"Sardar Patel Stadium, Motera",Sunrisers Hyderabad
488,IPL-2014,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Kings XI Punjab
489,IPL-2014,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Feroz Shah Kotla,Sunrisers Hyderabad
490,IPL-2014,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Wankhede Stadium,Chennai Super Kings
491,IPL-2014,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Barabati Stadium,Kolkata Knight Riders
492,IPL-2014,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,M Chinnaswamy Stadium,Rajasthan Royals
493,IPL-2014,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians
494,IPL-2014,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,JSCA International Stadium Complex,Chennai Super Kings
495,IPL-2014,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,M Chinnaswamy Stadium,Royal Challengers Bangalore
496,IPL-2014,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab
497,IPL-2014,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Barabati Stadium,Kolkata Knight Riders
498,IPL-2014,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,"Sardar Patel Stadium, Motera",Rajasthan Royals
499,IPL-2014,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,JSCA International Stadium Complex,Royal Challengers Bangalore
500,IPL-2014,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders
501,IPL-2014,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,"Sardar Patel Stadium, Motera",Mumbai Indians
502,IPL-2014,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,Feroz Shah Kotla,Kings XI Punjab
503,IPL-2014,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
504,IPL-2014,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Eden Gardens,Kolkata Knight Riders
505,IPL-2014,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians
506,IPL-2014,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Eden Gardens,Kolkata Knight Riders
507,IPL-2014,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,JSCA International Stadium Complex,Sunrisers Hyderabad
508,IPL-2014,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Wankhede Stadium,Mumbai Indians
509,IPL-2014,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
510,IPL-2014,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,M Chinnaswamy Stadium,Chennai Super Kings
511,IPL-2014,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Eden Gardens,Kolkata Knight Riders
512,IPL-2014,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
513,IPL-2014,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Wankhede Stadium,Mumbai Indians
514,IPL-2014,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Eden Gardens,Kolkata Knight Riders
515,IPL-2014,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Brabourne Stadium,Chennai Super Kings
516,IPL-2014,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Wankhede Stadium,Kings XI Punjab
517,IPL-2014,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,M Chinnaswamy Stadium,Kolkata Knight Riders
518,IPL-2015,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Eden Gardens,Kolkata Knight Riders
519,IPL-2015,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
520,IPL-2015,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Maharashtra Cricket Association Stadium,Rajasthan Royals
521,IPL-2015,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
522,IPL-2015,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Eden Gardens,Royal Challengers Bangalore
523,IPL-2015,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,Feroz Shah Kotla,Rajasthan Royals
524,IPL-2015,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Wankhede Stadium,Kings XI Punjab
525,IPL-2015,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,M Chinnaswamy Stadium,Sunrisers Hyderabad
526,IPL-2015,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,"Sardar Patel Stadium, Motera",Rajasthan Royals
527,IPL-2015,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Eden Gardens,Kolkata Knight Riders
528,IPL-2015,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,bat,Maharashtra Cricket Association Stadium,Delhi Daredevils
529,IPL-2015,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rajasthan Royals
530,IPL-2015,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Wankhede Stadium,Chennai Super Kings
