match_id,season,team1,team2,toss_winner,toss_decision,venue,winner
607,IPL-2016,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,Saurashtra Cricket Association Stadium,Delhi Daredevils
608,IPL-2016,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Eden Gardens,Kolkata Knight Riders
609,IPL-2016,Delhi Daredevils,Rising Pune Supergiants,Rising Pune Supergiants,field,Feroz Shah Kotla,Rising Pune Supergiants
610,IPL-2016,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
611,IPL-2016,Rising Pune Supergiants,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Royal Challengers Bangalore
612,IPL-2016,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab
613,IPL-2016,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad
614,IPL-2016,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,Eden Gardens,Gujarat Lions
615,IPL-2016,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,"Punjab Cricket Association IS Bindra Stadium, Mohali",Royal Challengers Bangalore
616,IPL-2016,Sunrisers Hyderabad,Rising Pune Supergiants,Sunrisers Hyderabad,bat,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad
617,IPL-2016,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,M Chinnaswamy Stadium,Mumbai Indians
618,IPL-2016,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,field,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils
619,IPL-2016,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Kings XI Punjab
620,IPL-2016,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,M Chinnaswamy Stadium,Royal Challengers Bangalore
621,IPL-2016,Rising Pune Supergiants,Kolkata Knight Riders,Rising Pune Supergiants,bat,Eden Gardens,Kolkata Knight Riders
622,IPL-2016,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali",Sunrisers Hyderabad
623,IPL-2016,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Mumbai Indians
624,IPL-2016,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Eden Gardens,Royal Challengers Bangalore
625,IPL-2016,Delhi Daredevils,Rising Pune Supergiants,Rising Pune Supergiants,field,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiants
626,IPL-2016,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,M Chinnaswamy Stadium,Royal Challengers Bangalore
627,IPL-2016,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,Green Park,Gujarat Lions
628,IPL-2016,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,field,Shaheed Veer Narayan Singh International Stadium,Delhi Daredevils
629,IPL-2016,Kings XI Punjab,Rising Pune Supergiants,Kings XI Punjab,bat,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiants
630,IPL-2016,Mumbai Indians,Gujarat Lions,Gujarat Lions,field,Green Park,Gujarat Lions
631,IPL-2016,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Eden Gardens,Kolkata Knight Riders
632,IPL-2016,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Shaheed Veer Narayan Singh International Stadium,Royal Challengers Bangalore
633,IPL-2016,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Royal Challengers Bangalore
634,IPL-2016,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Feroz Shah Kotla,Sunrisers Hyderabad
635,IPL-2016,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Feroz Shah Kotla,Sunrisers Hyderabad
636,IPL-2016,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,M Chinnaswamy Stadium,Sunrisers Hyderabad
7894,IPL-2018,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Wankhede Stadium,Chennai Super Kings
7895,IPL-2018,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab
7896,IPL-2018,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Eden Gardens,Kolkata Knight Riders
7897,IPL-2018,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
7898,IPL-2018,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
7899,IPL-2018,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Sawai Mansingh Stadium,Rajasthan Royals
7900,IPL-2018,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
7901,IPL-2018,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Royal Challengers Bangalore
7902,IPL-2018,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Wankhede Stadium,Delhi Daredevils
7903,IPL-2018,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Eden Gardens,Sunrisers Hyderabad
7904,IPL-2018,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Rajasthan Royals
7905,IPL-2018,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab
7906,IPL-2018,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,Eden Gardens,Kolkata Knight Riders
7907,IPL-2018,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Wankhede Stadium,Mumbai Indians
7908,IPL-2018,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Sawai Mansingh Stadium,Kolkata Knight Riders
7909,IPL-2018,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab
7910,IPL-2018,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Maharashtra Cricket Association Stadium,Chennai Super Kings
7911,IPL-2018,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Eden Gardens,Kings XI Punjab
7912,IPL-2018,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Royal Challengers Bangalore
7913,IPL-2018,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"Rajiv Gandhi International Stadium, Uppal",Chennai Super Kings
7914,IPL-2018,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Sawai Mansingh Stadium,Rajasthan Royals
7915,IPL-2018,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Feroz Shah Kotla,Kings XI Punjab
7916,IPL-2018,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Wankhede Stadium,Sunrisers Hyderabad
7917,IPL-2018,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,M Chinnaswamy Stadium,Chennai Super Kings
7918,IPL-2018,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
7919,IPL-2018,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Feroz Shah Kotla,Delhi Daredevils
7920,IPL-2018,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Maharashtra Cricket Association Stadium,Mumbai Indians
7921,IPL-2018,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Sawai Mansingh Stadium,Sunrisers Hyderabad
7922,IPL-2018,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,M Chinnaswamy Stadium,Kolkata Knight Riders
7923,IPL-2018,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,Maharashtra Cricket Association Stadium,Chennai Super Kings
7924,IPL-2018,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,M Chinnaswamy Stadium,Royal Challengers Bangalore
7925,IPL-2018,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,Feroz Shah Kotla,Delhi Daredevils
7926,IPL-2018,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Eden Gardens,Kolkata Knight Riders
7927,IPL-2018,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Holkar Cricket Stadium,Mumbai Indians
7928,IPL-2018,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Maharashtra Cricket Association Stadium,Chennai Super Kings
7929,IPL-2018,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
7930,IPL-2018,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Wankhede Stadium,Mumbai Indians
7931,IPL-2018,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Holkar Cricket Stadium,Kings XI Punjab
7932,IPL-2018,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
7933,IPL-2018,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,bat,Sawai Mansingh Stadium,Rajasthan Royals
7934,IPL-2018,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Eden Gardens,Mumbai Indians
7935,IPL-2018,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,Feroz Shah Kotla,Sunrisers Hyderabad
7936,IPL-2018,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Sawai Mansingh Stadium,Rajasthan Royals
7937,IPL-2018,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Holkar Cricket Stadium,Kolkata Knight Riders
7938,IPL-2018,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Feroz Shah Kotla,Royal Challengers Bangalore
7939,IPL-2018,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Maharashtra Cricket Association Stadium,Chennai Super Kings
7940,IPL-2018,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Wankhede Stadium,Rajasthan Royals
7941,IPL-2018,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Holkar Cricket Stadium,Royal Challengers Bangalore
7942,IPL-2018,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Eden Gardens,Kolkata Knight Riders
7943,IPL-2018,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Wankhede Stadium,Mumbai Indians
7944,IPL-2018,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,M Chinnaswamy Stadium,Royal Challengers Bangalore
7945,IPL-2018,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Feroz Shah Kotla,Delhi Daredevils
7946,IPL-2018,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Sawai Mansingh Stadium,Rajasthan Royals
7947,IPL-2018,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders
7948,IPL-2018,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Feroz Shah Kotla,Delhi Daredevils
7949,IPL-2018,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Maharashtra Cricket Association Stadium,Chennai Super Kings
7950,IPL-2018,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Wankhede Stadium,Chennai Super Kings
7951,IPL-2018,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Eden Gardens,Kolkata Knight Riders
7952,IPL-2018,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Eden Gardens,Sunrisers Hyderabad
7953,IPL-2018,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Wankhede Stadium,Chennai Super Kings
11137,IPL-2019,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,M. A. Chidambaram Stadium,Chennai Super Kings
11138,IPL-2019,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Eden Gardens,Kolkata Knight Riders
11139,IPL-2019,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Wankhede Stadium,Delhi Capitals
11140,IPL-2019,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Sawai Mansingh Stadium,Kings XI Punjab
11141,IPL-2019,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Feroz Shah Kotla Ground,Chennai Super Kings
11142,IPL-2019,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Eden Gardens,Kolkata Knight Riders
11143,IPL-2019,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M. Chinnaswamy Stadium,Mumbai Indians
11144,IPL-2019,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,Rajiv Gandhi Intl. Cricket Stadium,Sunrisers Hyderabad
11145,IPL-2019,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,IS Bindra Stadium,Kings XI Punjab
11146,IPL-2019,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Feroz Shah Kotla Ground,Delhi Capitals
11147,IPL-2019,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rajiv Gandhi Intl. Cricket Stadium,Sunrisers Hyderabad
11148,IPL-2019,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,M. A. Chidambaram Stadium,Chennai Super Kings
11149,IPL-2019,Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,IS Bindra Stadium,Kings XI Punjab
11150,IPL-2019,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Sawai Mansingh Stadium,Rajasthan Royals
11151,IPL-2019,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Wankhede Stadium,Mumbai Indians
11152,IPL-2019,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Feroz Shah Kotla Ground,Sunrisers Hyderabad
11153,IPL-2019,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,M. Chinnaswamy Stadium,Kolkata Knight Riders
11309,IPL-2019,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,M. A. Chidambaram Stadium,Chennai Super Kings
11310,IPL-2019,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rajiv Gandhi Intl. Cricket Stadium,Mumbai Indians
11311,IPL-2019,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,M. Chinnaswamy Stadium,Delhi Capitals
11312,IPL-2019,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Sawai Mansingh Stadium,Kolkata Knight Riders
11313,IPL-2019,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,IS Bindra Stadium,Kings XI Punjab
11314,IPL-2019,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,M. A. Chidambaram Stadium,Chennai Super Kings
11315,IPL-2019,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Wankhede Stadium,Mumbai Indians
11316,IPL-2019,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Sawai Mansingh Stadium,Chennai Super Kings
11317,IPL-2019,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Eden Gardens,Delhi Capitals
11318,IPL-2019,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Wankhede Stadium,Rajasthan Royals
11319,IPL-2019,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,IS Bindra Stadium,Royal Challengers Bangalore
11320,IPL-2019,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Eden Gardens,Chennai Super Kings
11321,IPL-2019,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rajiv Gandhi Intl. Cricket Stadium,Delhi Capitals
11322,IPL-2019,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Wankhede Stadium,Mumbai Indians
11323,IPL-2019,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,IS Bindra Stadium,Kings XI Punjab
11324,IPL-2019,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Rajiv Gandhi Intl. Cricket Stadium,Sunrisers Hyderabad
11325,IPL-2019,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,Feroz Shah Kotla Ground,Mumbai Indians
11326,IPL-2019,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Eden Gardens,Royal Challengers Bangalore
11327,IPL-2019,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Sawai Mansingh Stadium,Rajasthan Royals
11328,IPL-2019,Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,Feroz Shah Kotla Ground,Delhi Capitals
11329,IPL-2019,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rajiv Gandhi Intl. Cricket Stadium,Sunrisers Hyderabad
11330,IPL-2019,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,M. Chinnaswamy Stadium,Royal Challengers Bangalore
11331,IPL-2019,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Sawai Mansingh Stadium,Delhi Capitals
11332,IPL-2019,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,M. A. Chidambaram Stadium,Chennai Super Kings
11333,IPL-2019,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,M. Chinnaswamy Stadium,Royal Challengers Bangalore
11334,IPL-2019,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Eden Gardens,Rajasthan Royals
11335,IPL-2019,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,M. A. Chidambaram Stadium,Mumbai Indians
11336,IPL-2019,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Sawai Mansingh Stadium,Rajasthan Royals
11337,IPL-2019,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,Feroz Shah Kotla Ground,Delhi Capitals
11338,IPL-2019,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Eden Gardens,Kolkata Knight Riders
11339,IPL-2019,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Rajiv Gandhi Intl. Cricket Stadium,Sunrisers Hyderabad
11341,IPL-2019,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,M. A. Chidambaram Stadium,Chennai Super Kings
11342,IPL-2019,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Wankhede Stadium,Mumbai Indians
11343,IPL-2019,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,IS Bindra Stadium,Kolkata Knight Riders
11344,IPL-2019,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Feroz Shah Kotla Ground,Delhi Capitals
11345,IPL-2019,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M. Chinnaswamy Stadium,Royal Challengers Bangalore
11346,IPL-2019,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,IS Bindra Stadium,Kings XI Punjab
11347,IPL-2019,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Wankhede Stadium,Mumbai Indians
11412,IPL-2019,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,M. A. Chidambaram Stadium,Mumbai Indians
11413,IPL-2019,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,ACA-VDCA Stadium,Delhi Capitals
11414,IPL-2019,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,ACA-VDCA Stadium,Chennai Super Kings
11415,IPL-2019,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Rajiv Gandhi Intl. Cricket Stadium,Mumbai Indians
